,fare_amount,passenger_count,payment_type,s_validation_status_code,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
0,16.5,1,1,P,2017-03-01 00:21:31,2017-03-01 00:00:00,3.70
1,19.5,1,1,P,2017-03-01 00:19:30,2017-03-01 00:00:00,6.00
2,12.5,1,1,P,2017-03-01 00:14:22,2017-03-01 00:00:00,2.80
3,30,1,1,P,2017-03-01 00:34:27,2017-03-01 00:00:00,8.70
4,8.5,1,1,P,2017-03-01 00:07:26,2017-03-01 00:00:00,2.07
5,11.5,1,1,P,2017-03-01 00:10:40,2017-03-01 00:00:00,2.91
6,15.5,1,1,P,2017-03-01 06:46:27,2017-03-01 00:00:00,4.70
7,6,1,1,P,2017-03-01 00:06:09,2017-03-01 00:00:01,.83
8,21.5,1,1,P,2017-03-01 00:25:33,2017-03-01 00:00:02,5.70
9,10.5,1,1,P,2017-03-01 00:10:41,2017-03-01 00:00:02,2.43
10,16.5,1,1,P,2017-03-01 00:17:29,2017-03-01 00:00:03,4.50
11,9,1,1,P,2017-03-01 00:09:55,2017-03-01 00:00:03,1.73
12,7.5,1,2,P,2017-03-01 00:07:51,2017-03-01 00:00:04,1.40
13,8.5,1,2,P,2017-03-01 00:09:41,2017-03-01 00:00:07,1.40
14,13,1,1,P,2017-03-01 00:13:00,2017-03-01 00:00:07,3.50
15,13.5,1,1,P,2017-03-01 00:12:35,2017-03-01 00:00:07,3.70
16,32.5,1,1,P,2017-03-01 00:27:43,2017-03-01 00:00:07,10.30
17,3.5,1,1,P,2017-03-01 00:02:10,2017-03-01 00:00:08,.40
18,41.5,1,1,P,2017-03-01 00:25:29,2017-03-01 00:00:08,14.90
19,4.5,1,2,P,2017-03-01 00:03:29,2017-03-01 00:00:08,.66
20,52,1,1,P,2017-03-01 00:21:59,2017-03-01 00:00:09,16.53
21,12.5,1,1,P,2017-03-01 00:11:12,2017-03-01 00:00:09,4.00
22,12,1,1,P,2017-03-01 00:00:19,2017-03-01 00:00:09,.00
23,7,1,1,P,2017-03-01 00:07:15,2017-03-01 00:00:09,1.40
24,6,1,1,P,2017-03-01 00:05:58,2017-03-01 00:00:10,.90
25,14.5,1,1,P,2017-03-01 00:15:02,2017-03-01 00:00:10,4.33
26,7.5,1,1,P,2017-03-01 00:06:47,2017-03-01 00:00:10,1.54
27,7,1,1,P,2017-03-01 00:04:46,2017-03-01 00:00:12,1.95
28,6.5,1,2,P,2017-03-01 00:06:04,2017-03-01 00:00:12,1.17
29,22.5,1,1,P,2017-03-01 00:24:41,2017-03-01 00:00:14,6.21
30,12,1,1,P,2017-03-01 00:14:34,2017-03-01 00:00:15,2.60
31,7,1,2,P,2017-03-01 00:07:40,2017-03-01 00:00:15,1.40
32,10,1,2,P,2017-03-01 00:08:14,2017-03-01 00:00:15,2.90
33,4,1,1,P,2017-03-01 00:01:47,2017-03-01 00:00:16,.60
34,52,1,1,P,2017-03-01 00:27:54,2017-03-01 00:00:16,17.33
35,9,1,1,P,2017-03-01 00:08:16,2017-03-01 00:00:16,2.29
36,52,1,1,P,2017-03-01 00:45:19,2017-03-01 00:00:18,20.90
37,6.5,1,1,P,2017-03-01 00:06:31,2017-03-01 00:00:18,1.20
38,5.5,1,2,P,2017-03-01 00:06:21,2017-03-01 00:00:19,.96
39,24,1,1,P,2017-03-01 00:21:22,2017-03-01 00:00:19,7.32
40,14.5,1,1,P,2017-03-01 00:15:30,2017-03-01 00:00:20,3.95
41,12.5,1,2,P,2017-03-01 00:15:58,2017-03-01 00:00:20,3.19
42,8,1,1,P,2017-03-01 00:05:56,2017-03-01 00:00:21,2.02
43,7.5,1,2,P,2017-03-01 00:07:57,2017-03-01 00:00:21,1.30
44,7.5,1,1,P,2017-03-01 00:08:12,2017-03-01 00:00:22,1.26
45,9.5,1,2,P,2017-03-01 00:09:58,2017-03-01 00:00:22,2.40
46,12,1,1,P,2017-03-01 00:13:07,2017-03-01 00:00:22,2.90
47,10.5,1,1,P,2017-03-01 00:12:36,2017-03-01 00:00:24,2.08
48,23.8,1,1,P,2017-03-01 00:00:27,2017-03-01 00:00:24,.00
49,9.5,1,2,P,2017-03-01 00:10:23,2017-03-01 00:00:24,2.30
50,15.5,1,1,P,2017-03-01 00:12:54,2017-03-01 00:00:25,4.50
51,7,1,1,P,2017-03-01 00:07:31,2017-03-01 00:00:26,1.00
52,4.5,1,2,P,2017-03-01 00:03:28,2017-03-01 00:00:26,.62
53,6,1,1,P,2017-03-01 00:06:17,2017-03-01 00:00:26,1.00
54,31.5,1,2,P,2017-03-01 00:41:17,2017-03-01 00:00:27,9.79
55,20.5,1,1,P,2017-03-01 00:25:42,2017-03-01 00:00:27,5.28
